,cod_local,qtd_pes,qtd_pes_pobres,qtd_pes_vulneraveis,qtd_pes_pob_vul,proporcao
0,Rondônia,1562408.99999999,823651.341785178,279296.039407831,1102947.38119301,70.59274371774721
1,Acre,733559.000000009,409571.899235246,119519.199827159,529091.099062404,72.12659091666758
2,Amazonas,3483985.00000002,1720346.61085516,518304.591856998,2238651.20271216,64.2554776416129
3,Roraima,450479.000000003,177457.239386995,72361.1816309939,249818.421017989,55.45617465364363
4,Pará,7581051.0,4566283.46040288,1202564.87947742,5768848.3398803,76.09562763633036
5,Amapá,669526.000000004,344874.989416318,126313.180552219,471188.169968537,70.37638119632908
6,Tocantins,1383445.0,493167.461596326,276299.55702868,769467.018625006,55.61963205078669
7,Maranhão,6574788.99999998,3701272.85411089,1167374.26994066,4868647.12405155,74.05024136974686
8,Piauí,3118359.99999995,1483982.63876279,651147.737590079,2135130.37635287,68.4696563691461
9,Ceará,8452381.00000009,3196335.74254395,1577470.55996262,4773806.30250657,56.478834810055524
10,Rio Grande do Norte,3168027.0,959963.866918295,585106.631424158,1545070.49834245,48.77074906061249
11,Paraíba,3766528.0,1351092.60541751,630681.397786562,1981774.00320407,52.61540610355399
12,Pernambuco,8796447.99999998,2841699.98027539,1484858.48200111,4326558.4622765,49.18529004294131
13,Alagoas,3120494.00000001,1339166.14563005,588712.892905652,1927879.0385357,61.78121279950206
14,Sergipe,2068016.99999999,701672.527941509,343583.580308558,1045256.10825007,50.54388374225527
15,Bahia,14016906.0000001,4984008.52980033,2392973.28468445,7376981.81448479,52.62917375977793
16,Minas Gerais,19597329.9999999,3289483.29791768,2120316.38037577,5409799.67829345,27.604779213767785
17,Espírito Santo,3514951.99999998,644122.913182483,403588.533606818,1047711.4467893,29.807276081986494
18,Rio de Janeiro,15989929.0,1761830.26946285,1697667.55158995,3459497.8210528,21.635479563747907
19,São Paulo,41262199.0000007,2600270.78405074,3322578.80117201,5922849.58522276,14.35417822792881
20,Paraná,10444526.0000001,1879601.63597931,1295669.91718891,3175271.55316821,30.401298758490135
21,Santa Catarina,6248436.00000001,1005939.12434898,809828.171780647,1815767.29612963,29.059548599515573
22,Rio Grande do Sul,10693929.0,1720336.00078703,1318656.73329407,3038992.7340811,28.41792510574084
23,Mato Grosso do Sul,2449024.00000002,609374.944647259,420480.957500998,1029855.90214826,42.05168680046629
24,Mato Grosso,3035121.99999999,920297.843899961,562335.303235951,1482633.14713591,48.8492109093445
25,Goiás,6003788.00000004,1211355.74348546,1040788.39282224,2252144.1363077,37.51205299567015
26,Distrito Federal,2570160.00000001,181127.614614625,204148.099349179,385275.713963804,14.99033966616096
